"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Sea (Garena)","SE","70118817792","125.72","Singapore"
"2","DBS","DBSDF","69282676736","26.94","Singapore"
"3","OCBC Bank","O39.SI","42133709343","9.38","Singapore"
"4","UOB","U11.SI","40167185933","24.02","Singapore"
"5","Singtel","SNGNF","32669358080","1.9","Singapore"
"6","Wilmar","WLMIF","21782740992","3.46","Singapore"
"7","Grab Holdings","GRAB","19341434880","5.17","Singapore"
"8","Singapore Airlines","SINGF","11576607744","3.81","Singapore"
"9","CapitaLand Mall Trust","C38U.SI","10535179716","1.59","Singapore"
"10","ST Engineering","SJX.F","8985023287","2.78","Singapore"
"11","Ascendas Reit","A17U.SI","8808750680","2.1","Singapore"
"12","Keppel","BN4.SI","8135576835","4.47","Singapore"
"13","Flex","FLEX","7740955136","16.68","Singapore"
"14","Singapore Exchange","SPXCF","7716375040","7.22","Singapore"
"15","Great Eastern","G07.SI","7548959054","15.95","Singapore"
"16","Genting Singapore","G13.SI","6977621455","0.58","Singapore"
"17","BOC Aviation","2588.HK","6750351928","9.73","Singapore"
"18","Jardine Singapore","C07.SI","6590807719","16.68","Singapore"
"19","Mapletree Logistics Trust","M44U.SI","6383211350","1.33","Singapore"
"20","Mapletree Industrial Trust","ME8U.SI","5070789081","1.91","Singapore"
"21","City Developments","C09.SI","4834832694","5.33","Singapore"
"22","Olam","O32.SI","4769303680","1.29","Singapore"
"23","Mapletree Commercial Trust","N2IU.SI","4558914360","1.37","Singapore"
"24","UOL Group","U14.SI","4519743565","5.35","Singapore"
"25","Frasers Logistics &amp; Industrial Trust","BUOU.SI","3858957486","1.05","Singapore"
"26","Suntec REIT","T82U.SI","3477102501","1.22","Singapore"
"27","SATS","S58.SI","3461096463","3.08","Singapore"
"28","Sembcorp","U96.SI","3220399993","1.81","Singapore"
"29","Kulicke and Soffa Industries","KLIC","3176074240","50.98","Singapore"
"30","Keppel REIT","K71U.SI","3166195206","0.85","Singapore"
"31","Kenon Holdings","KEN","3068953600","56.96","Singapore"
"32","NetLink Trust","CJLU.SI","2817243484","0.72","Singapore"
"33","United Industrial Corporation","U06.SI","2815041050","1.96","Singapore"
"34","Mapletree North Asia Commercial Trust","RW0U.SI","2798990215","0.79","Singapore"
"35","ComfortDelGro","C52.SI","2378468776","1.1","Singapore"
"36","HPH Trust","HCTPF","2291019520","0.26","Singapore"
"37","TDCX","TDCX","1985740160","13.9","Singapore"
"38","Yanlord","Z25.SI","1689967673","0.87","Singapore"
"39","Karooooo","KARO","1015815104","32.82","Singapore"
"40","Triterras","TRIT","136441280","1.64","Singapore"
"41","Society Pass","SOPA","64079748","2.76","Singapore"
